vx1ActNum,hteAcctNum,hteCustNum,hteLOCID
3000291,343183-24145,343183,24145
3000292,343433-24096,343433,24096
3000293,343583-24110,343583,24110
3000294,343703-24099,343703,24099
3000295,344003-24154,344003,24154
3000296,344143-3279,344143,3279
3000297,344383-17035,344383,17035
3000298,344523-24279,344523,24279
3000299,344753-11035,344753,11035
3000300,344793-13517,344793,13517
3000301,344893-24371,344893,24371
3000302,345153-24390,345153,24390
3000303,345263-24397,345263,24397
3000304,345313-24401,345313,24401
3000305,345463-14231,345463,14231
3000306,345513-24352,345513,24352
3000307,345803-24333,345803,24333
3000308,345903-21867,345903,21867
3000309,346023-24316,346023,24316
3000310,346123-1462,346123,1462
3000311,346203-34349,346203,34349
3000312,346413-24513,346413,24513
3000313,346703-24562,346703,24562
3000314,346803-24579,346803,24579
3000315,347103-20368,347103,20368
3000316,347493-19283,347493,19283
3000317,347553-19289,347553,19289
3000318,347623-34689,347623,34689
3000319,347753-19274,347753,19274
3000320,347893-19256,347893,19256
3000321,348163-19358,348163,19358
3000322,348253-39912,348253,39912
3000323,348343-19371,348343,19371
3000324,348433-19490,348433,19490
3000325,348593-37882,348593,37882
3000326,348633-26417,348633,26417
3000327,348713-31827,348713,31827
3000328,348843-19420,348843,19420
3000329,349093-28384,349093,28384
3000330,349273-19390,349273,19390
3000331,349413-19456,349413,19456
3000332,349513-42773,349513,42773
3000333,349763-44490,349763,44490
3000334,349833-33677,349833,33677
3000335,349903-2514,349903,2514
3000336,350033-19412,350033,19412
3000337,350413-19240,350413,19240
3000338,350533-33195,350533,33195
3000339,350763-16788,350763,16788
3000340,350853-16782,350853,16782
3000341,350963-16707,350963,16707
3000342,351153-28529,351153,28529
3000343,351333-42620,351333,42620
3000344,351483-16757,351483,16757
3000345,351583-16646,351583,16646
3000346,351603-16649,351603,16649
3000347,351723-16663,351723,16663
3000348,351953-16684,351953,16684
3000349,352123-16764,352123,16764
3000350,352193-35964,352193,35964
3000351,352213-16793,352213,16793
3000352,352423-4361,352423,4361
3000353,352653-4390,352653,4390
3000354,352793-4523,352793,4523
3000355,352923-4496,352923,4496
3000356,353233-4493,353233,4493
3000357,353293-4395,353293,4395
3000358,353513-4397,353513,4397
3000359,353653-28246,353653,28246
3000360,353733-10001,353733,10001
3000361,353813-4446,353813,4446
3000362,353953-33901,353953,33901
3000363,354183-4456,354183,4456
3000364,354393-4376,354393,4376
3000365,354553-19514,354553,19514
3000366,354813-19692,354813,19692
3000367,354913-13442,354913,13442
3000368,355283-19821,355283,19821
3000369,355473-19838,355473,19838
3000370,355603-19805,355603,19805
3000371,355693-19816,355693,19816
3000372,355843-19789,355843,19789
3000373,355983-45241,355983,45241
3000374,356183-35294,356183,35294
3000375,356283-19752,356283,19752
3000376,356373-19718,356373,19718
3000377,356473-19728,356473,19728
3000378,356533-19653,356533,19653
3000379,356623-19537,356623,19537
3000380,356903-15051,356903,15051
3000381,357233-35112,357233,35112
3000382,357443-19604,357443,19604
3000383,357523-33748,357523,33748
3000384,358723-19857,358723,19857
3000385,358853-19948,358853,19948
3000386,358913-19942,358913,19942
3000387,359113-23562,359113,23562
3000388,359213-23593,359213,23593
3000389,359313-23583,359313,23583
3000390,359623-23634,359623,23634
3000391,359793-13998,359793,13998
3000392,359893-39101,359893,39101
3000393,359993-23651,359993,23651
3000394,360143-23662,360143,23662
3000395,360333-43777,360333,43777
3000396,360503-40911,360503,40911
3000397,360773-23817,360773,23817
3000398,360833-42334,360833,42334
3000399,360933-23835,360933,23835
3000400,361213-23891,361213,23891
3000401,361363-23842,361363,23842
3000402,361513-35115,361513,35115
3000403,361633-23809,361633,23809
3000404,361733-35098,361733,35098
3000405,361813-22537,361813,22537
3000406,361913-23941,361913,23941
3000407,362113-23949,362113,23949
3000408,362153-35080,362153,35080
3000409,362273-12945,362273,12945
3000410,362353-28027,362353,28027
3000411,362523-38600,362523,38600
